state,account length,area code,phone number,international plan,voice mail plan,number vmail messages,total day calls,total day charge,total eve calls,total eve charge,total night calls,total night charge,total intl calls,total intl charge,customer service calls,churn
KS,99,415,407-1896,0,0,0,110,32.5,102,13.93,114,10.96,3,3.81,1,0
MT,163,510,398-9408,0,1,23,104,27.2,64,16.1,118,10.35,7,2.81,1,0
MO,161,510,369-8005,0,0,0,95,37.69,82,16.41,113,8.73,4,1.76,3,0
HI,99,415,346-2530,0,0,0,81,10.69,64,19.64,121,7.6,5,2.3,1,0
CO,108,415,400-5984,0,0,0,78,36.65,119,16.6,65,8.75,5,0.97,1,0
CT,84,510,351-1007,0,1,42,97,28.1,118,19,72,11.74,7,2.05,3,0
ID,83,415,345-5980,1,1,32,111,16.1,98,13.12,109,9.02,6,2.86,2,0
DC,139,510,368-8964,0,0,0,81,34.54,99,12.96,76,8.9,3,2.62,2,0
TN,69,510,358-1912,0,0,0,70,33.2,108,18.42,119,11.7,4,3.38,3,0
WY,129,510,379-3132,0,0,0,114,24.43,98,25.31,86,9.57,8,3.08,4,0
MO,106,415,340-9910,0,0,0,104,19.45,101,6.66,78,10.47,0,0,2,0
VA,158,415,396-2719,0,0,0,101,37.88,128,17.26,106,9.48,2,1.86,2,0
SD,168,415,369-6204,0,1,22,70,29.9,105,17.99,81,7.85,5,1.97,2,0
WV,115,510,420-9971,1,0,0,95,42.48,104,20.61,121,6.83,6,4.13,1,1
GA,57,408,410-3782,1,1,30,130,39.87,116,16.59,94,12.1,4,3.08,2,0
AZ,67,415,404-4481,0,0,0,116,35.82,86,18.63,83,8.09,6,1.94,1,0
AK,127,408,383-9255,0,0,0,124,30.99,110,14.44,116,8.28,3,2.51,1,0
AK,78,510,418-9385,0,0,0,88,32.35,89,16.53,109,11.54,5,3.16,2,0
CT,100,415,360-9676,0,1,38,88,30.11,108,13.91,72,10.92,2,2,0,0
UT,103,510,327-3587,0,1,36,92,14.82,110,14.39,80,7.5,5,2.94,6,1
KY,113,415,385-4715,0,0,0,96,36.65,127,16.44,115,4.74,3,3.65,1,0
MI,78,510,414-2695,0,0,0,109,23.36,49,20.2,136,9.3,11,3.78,3,0
OR,129,510,331-5999,0,1,36,103,32.78,83,15.05,118,9.74,5,4.43,1,0
TN,57,510,337-7739,0,0,0,100,25.38,110,17.02,101,10.43,3,3.21,2,0
WV,82,408,388-6658,0,0,0,116,24.43,99,14.51,95,12.95,5,2.11,1,0
NJ,64,415,405-6943,0,0,0,111,38.22,101,16.15,110,9.96,2,2.48,1,0
MS,86,510,382-4084,0,1,39,122,44.4,101,18.21,101,6.97,5,3.43,2,0
ME,151,415,352-8249,0,1,26,98,33.41,111,14.94,124,9.98,5,3.62,0,0
WY,94,510,353-8363,0,0,0,105,46.1,105,17.22,51,9.97,3,3.11,3,1
WY,90,415,416-2825,0,0,0,121,35.22,104,24.86,103,10.18,1,2.16,2,0
IN,48,510,342-6696,0,0,0,94,51.07,103,11.32,94,8.88,5,1.94,2,0
NM,85,408,338-9210,0,1,37,123,39.03,90,11.25,76,9.54,8,2.57,2,0
NJ,93,415,328-1768,1,1,20,110,31.88,94,14.43,127,7.89,4,3.27,1,0
DC,169,415,406-5870,1,0,0,98,9.71,78,16.97,103,12.36,6,1.76,3,0
UT,68,415,398-3834,0,0,0,86,27.56,86,13.18,87,8.54,9,2.97,5,1
KY,91,415,330-7754,1,0,0,89,24.65,102,14.94,151,10.07,3,4.51,2,1
KS,68,510,414-9054,0,0,0,123,27.12,93,20.47,76,9.46,3,3.08,1,0
MI,101,510,350-2832,0,0,0,72,32.42,103,17.73,111,9.17,8,2.38,1,0
UT,67,510,414-9027,0,1,20,40,39.2,58,16.07,115,7.3,2,2.54,1,0
NE,66,415,337-1225,0,0,0,133,5.78,61,23.68,120,5.83,3,3.11,0,0
FL,116,415,394-6577,0,1,17,112,32.88,131,20.45,98,11.16,3,3.08,5,0
LA,158,408,359-6995,0,0,0,126,34.34,86,13.9,84,8.79,6,2.81,1,0
MT,78,415,377-7561,0,0,0,122,32.59,88,20.52,86,9.16,5,2.46,1,0
WA,119,415,380-6631,0,1,26,97,27.42,110,21.28,92,6.41,8,1.78,1,0
MI,120,415,390-8876,0,0,0,85,25.6,128,10.12,123,10.48,2,1.73,1,0
KY,155,510,413-2201,0,0,0,102,31.38,117,16.66,122,10.19,1,2.11,1,0
LA,106,408,374-2073,0,0,0,120,37.52,95,22.97,113,5.47,5,2.35,1,0
NM,87,510,417-1272,1,0,0,119,28.44,119,16.87,88,5.99,6,2.97,1,0
AL,146,415,358-1129,0,1,32,80,26.18,91,15.77,107,6.67,4,2.21,3,0
MO,101,415,394-1211,0,1,29,116,20.59,100,15.84,75,10.88,6,2.73,0,0
CO,22,510,327-1319,0,1,23,94,30.96,59,13.99,102,5.8,4,3.43,3,0
TX,90,415,399-4413,0,0,0,88,18.63,108,11.7,121,7.19,5,2.97,2,0
NY,41,415,393-9985,0,0,0,105,35.68,105,10.36,104,11.42,4,2.59,1,0
OR,69,415,401-8377,0,0,0,76,28.48,92,20.58,103,4.55,4,3.08,2,0
WY,33,415,331-3202,0,0,0,88,36.36,119,20.38,71,6.69,14,2.65,2,0
UT,112,415,358-5953,0,0,0,108,19.69,111,20.68,78,8.31,5,3.54,1,0
LA,108,510,380-7624,0,1,30,99,47.02,113,18.71,95,8.01,6,2.65,2,0
NV,136,415,416-5261,0,1,21,88,30.5,97,15.39,120,14.43,4,2.57,2,0
NC,128,510,417-5067,0,0,0,84,31.84,95,23.02,68,9.29,5,2.73,1,0
NC,27,408,345-6515,0,0,0,128,34.2,100,19.31,91,6.56,3,2.27,2,0
WY,161,415,406-1349,1,0,0,78,32.23,117,22.73,137,8.3,6,0.35,1,0
TN,33,415,360-9038,0,1,35,124,31.76,69,22.19,103,14.3,5,4.05,0,0
FL,120,415,348-3444,0,1,31,83,26.1,96,18.62,76,10.68,4,3.08,0,0
CA,113,415,370-2892,0,0,0,97,31.89,118,17.7,101,7.15,6,2.35,2,0
PA,122,415,383-4061,1,0,0,132,39.25,99,20.67,57,8.21,2,2.97,0,1
WV,148,415,391-7937,0,1,26,150,41.63,138,10.03,91,10.62,4,4.1,2,0
NJ,74,415,389-4083,0,0,0,93,39.25,78,18.96,101,7.1,2,2.62,3,0
MT,106,415,410-9633,0,0,0,104,31.81,117,21.27,81,6.52,3,2.97,1,0
MN,179,415,418-9502,0,0,0,54,29.02,108,16.24,107,9.66,4,3.59,1,0
WI,149,415,339-6637,1,1,28,97,21.57,102,14.19,77,6.53,3,2.38,5,1
ID,77,510,356-3403,0,0,0,112,32.22,95,17.6,91,9.63,7,2.48,0,0
MA,127,408,371-9457,1,0,0,110,30.07,100,14.27,138,8.2,2,2.08,1,1
OR,80,415,391-8087,0,0,0,99,27.39,81,16.9,116,10.28,4,2.86,1,0
MT,106,510,392-6420,0,0,0,107,28.8,71,16.76,79,9.1,4,2.89,1,0
AL,61,415,399-4094,0,1,20,133,43.25,96,13.74,91,11.31,4,2.84,0,0
ND,135,510,378-4013,1,1,24,54,21.71,105,18.28,84,10.54,4,1.57,2,0
LA,115,415,386-6306,0,1,26,107,28.99,77,18.46,71,10.16,5,3.67,6,0
ND,167,408,359-3618,1,0,0,100,37.25,90,20.65,101,7.6,4,2.73,2,0
MS,107,510,340-8875,1,0,0,104,46.5,68,15.62,67,6.92,9,2.97,2,0
WV,112,415,330-2693,1,0,0,138,27.52,114,17.08,134,6.03,4,2.89,1,0
WI,35,510,403-7627,0,1,27,87,41.09,101,12.07,68,13,4,2.54,1,0
KS,103,408,342-3678,1,0,0,124,10.68,66,14.48,78,12.61,4,2.54,3,0
MO,107,415,344-9943,0,1,22,83,47.79,130,12.21,128,10.77,9,3.02,1,0
PA,69,415,390-5686,0,0,0,70,38.79,80,22.41,60,6.42,5,2.89,3,0
SD,85,408,358-5826,0,0,0,82,35.67,94,16.53,85,9.02,3,3.05,0,0
NJ,24,408,393-7826,0,0,0,86,45.15,102,17.75,105,8.21,6,3,2,1
AL,90,415,335-9786,0,0,0,97,36.53,117,10.01,78,6.02,2,3.19,2,0
ME,137,510,368-9860,0,0,0,79,18.79,111,18.97,64,7.63,3,2.84,3,0
AZ,92,415,416-9522,1,1,45,88,47.79,103,16.83,76,4.24,3,2.03,0,0
VT,38,415,416-7307,0,0,0,86,23.43,76,24.34,77,7.52,3,3.81,2,0
NV,69,510,397-6789,1,1,33,98,46.16,102,21.54,85,7.44,2,2.21,1,1
WI,45,408,335-9501,0,0,0,108,19.18,120,18.6,106,10.81,3,2.43,2,0
HI,73,408,388-1250,0,0,0,118,31.84,90,20.37,108,7.54,2,4.08,1,0
DE,92,415,386-1374,0,0,0,84,33.49,105,22.89,105,7.15,4,2.92,1,0
AZ,113,415,346-8112,0,1,32,89,30.67,124,11,124,7.51,2,2.27,1,0
VA,68,408,364-9040,1,0,0,126,25.25,125,18.65,121,8.93,7,3.92,1,1
GA,135,415,366-3944,0,1,22,113,33.51,95,22.05,135,6.06,5,3.94,2,0
AZ,100,415,331-9861,0,1,26,115,26.13,146,11.71,104,9.61,5,4.29,1,0
MN,96,415,330-2881,0,1,27,96,44.42,101,18.78,97,8.07,2,3.05,1,0
ME,108,510,402-9558,0,0,0,102,41.85,134,17.2,95,8.1,5,2.54,1,0
FL,84,510,341-3180,0,0,0,88,32.47,119,27.1,79,11.13,4,1.76,0,0
WA,134,408,371-8598,0,0,0,86,35.41,89,21.56,86,13.1,3,3.4,1,0
MT,72,415,398-8385,0,0,0,73,43.01,78,18.64,89,9.49,4,2.65,0,0
AL,83,408,333-4154,0,0,0,87,34.39,111,17.13,82,4.58,4,1.84,0,0
WV,137,408,330-3589,0,0,0,120,29.65,98,13.29,121,6.14,5,2.75,0,0
GA,56,415,417-1477,0,1,30,89,21.61,116,14.63,111,8.76,3,3.27,1,0
OH,61,510,327-5525,1,1,16,76,24.4,58,20.62,95,6.65,3,3.05,0,0
DE,171,510,363-8244,0,1,17,94,31.77,138,20.4,64,9.04,3,1.57,1,0
NE,123,510,419-9104,0,0,0,118,32.98,114,20.57,108,6.58,4,3.27,1,0
FL,58,510,363-1560,0,0,0,89,39.92,131,9.08,122,8.03,6,2.67,0,0
AK,156,510,341-4075,0,0,0,96,21.03,80,8.76,82,8.52,4,3.54,1,0
WI,166,510,366-9074,0,0,0,103,29.56,83,23.49,113,8.59,5,4.13,0,0
WA,75,510,367-1424,0,1,41,115,22.25,110,17.29,68,7.73,4,3.35,1,0
KY,75,415,341-1191,0,0,0,102,53.48,86,14.43,100,12.83,3,1.54,2,1
OH,83,510,342-9480,0,0,0,78,38.74,115,17.64,100,9.53,5,3.27,1,0
UT,243,510,355-9360,0,0,0,92,16.24,63,13.91,118,11.89,6,1.78,2,0
NM,153,408,343-1538,0,0,0,127,31.5,73,17.68,124,9.27,3,4.08,1,0
MN,150,415,335-2331,0,0,0,133,24.87,95,17.23,103,10.56,3,3.54,1,0
WV,92,510,335-7257,0,1,16,99,31.28,134,6.49,96,8.33,3,3.43,2,0
MN,80,415,332-2137,0,0,0,110,17.99,88,3.73,87,8.53,5,3.54,0,0
AL,134,415,352-2998,0,0,0,110,30.26,64,13.07,105,10.65,4,3.16,1,0
PA,77,510,346-6941,0,1,24,74,25.4,72,10.53,84,7.84,6,2.73,1,0
DE,147,510,400-2203,0,0,0,104,35.6,78,11.26,123,6.72,3,3.05,2,0
MO,74,415,421-2955,0,0,0,105,29.26,99,17.99,105,8.2,6,3.13,1,0
IL,138,510,331-6629,1,0,0,82,28.78,147,18.52,77,8.29,9,2.54,1,0
FL,143,415,343-6314,0,0,0,117,20.25,136,24.45,100,10.04,4,3.29,0,0
HI,64,415,414-6638,0,0,0,147,33.01,87,14.74,114,12.09,2,1.49,2,0
ME,120,510,350-5883,0,0,0,56,33.8,73,19.56,81,5.39,3,2.67,2,0
CO,121,408,409-4447,1,0,0,94,28.51,121,7.96,115,10.86,1,3.62,3,1
NH,88,415,376-4856,0,0,0,86,34.37,93,18.43,99,10.77,2,3.19,2,0
SC,87,408,335-1874,0,0,0,106,54.83,93,17.39,128,8.38,4,2.54,2,1
IN,100,510,397-6255,0,0,0,107,36.75,84,18.33,127,6.23,3,2.75,0,0
FL,104,415,381-5047,0,0,0,116,12.99,74,9.83,94,10.18,3,2.54,3,0
GA,27,510,403-6850,0,0,0,75,12.36,117,17.73,71,2.96,3,2.67,1,0
IL,81,415,375-3658,0,1,31,100,35.77,97,19.17,120,7.59,4,2.62,0,0
NC,64,510,341-2603,1,1,33,93,21.62,104,13.85,109,11.13,13,2.19,0,0
VT,107,510,342-5062,0,1,28,79,34.31,128,25.92,133,10.15,8,3.21,1,0
DC,88,415,354-1558,0,1,17,78,37.32,94,18.88,92,8.47,5,4.35,1,0
VT,111,408,351-9537,0,0,0,112,16.88,136,22.99,94,10.14,6,2.43,3,0
NV,77,415,401-1252,0,0,0,114,40.66,115,12.75,81,7.24,2,2.78,5,0
OR,67,415,366-9538,1,0,0,58,20.55,88,19.98,130,4.28,11,3.08,2,0
AL,102,408,364-7622,0,0,0,81,38.2,112,11,109,7.54,6,4.27,1,0
ND,146,408,393-9918,0,1,19,88,30.02,66,13.83,98,9.7,6,3.94,1,0
FL,144,415,376-4484,0,1,51,98,48.26,109,16.32,85,8.83,4,2.7,1,0
NE,96,415,410-6791,0,0,0,92,30.7,114,16.23,125,13.3,4,2.78,1,1
ND,70,415,343-2392,0,1,31,101,21.4,102,16.69,75,11.37,4,2.78,1,0
ME,149,408,408-4323,0,0,0,79,40.39,107,16.35,111,9.33,9,2.46,0,0
IL,129,415,395-1718,0,0,0,91,33.73,106,22.5,101,5.01,2,2.48,2,0
WA,166,408,354-9492,0,0,0,110,46.63,109,4.5,119,11.07,5,2.94,0,0
MA,136,408,367-8168,1,0,0,89,33.93,96,17.97,84,3.26,4,2.97,3,1
KS,149,510,340-3500,0,0,0,91,37.01,74,23.25,99,10.21,3,2.59,3,0
RI,70,415,369-4962,0,0,0,96,22.9,90,20.05,113,11.71,6,2.05,3,0
MO,120,415,334-8967,0,1,24,73,36.16,103,21.89,119,10.25,13,2.62,2,0
IA,66,510,402-2377,0,0,0,135,43.57,106,15.32,135,8.43,7,1.67,2,0
WY,104,408,366-3917,0,0,0,133,31.21,98,10.26,112,9.68,2,3.43,1,0
NV,160,415,333-3531,0,0,0,90,29.95,115,16.66,95,11.88,4,2.48,1,0
WI,129,415,333-8954,0,1,37,94,34.85,103,14.06,81,8.32,8,3.16,1,0
AL,93,408,374-9203,0,0,0,114,45.54,74,18.96,90,11.82,3,3.05,3,1
HI,169,415,334-3289,0,0,0,111,30.46,130,14.89,92,10.29,6,2.67,2,0
MO,58,415,353-7822,0,0,0,145,25.4,105,16.7,108,9.43,3,4.02,1,0
CA,75,510,350-1422,0,1,38,132,27.81,113,12.47,115,15.56,3,3.54,3,0
MO,45,408,385-8406,0,0,0,71,35.29,94,12.98,125,9.8,13,3.35,1,0
CT,155,510,380-7277,0,0,0,108,28.12,103,15.61,108,3.61,4,2.4,3,0
MD,52,415,352-1798,0,0,0,114,35.67,82,14.56,119,6.96,9,2.67,4,0
OH,119,415,385-7922,0,1,27,128,37.42,133,22.8,80,6.59,3,3,0,0
NV,86,510,353-7730,0,0,0,72,24.02,95,13.12,91,9.48,5,2.21,1,0
MD,42,408,337-7163,0,0,0,89,33.41,123,20.51,105,6.44,7,1.08,0,0
NE,127,510,348-5567,1,0,0,114,30.75,118,17.81,105,11.25,4,2,2,0
OH,123,408,420-9575,0,0,0,150,17.85,90,21.39,93,11.61,5,4.02,0,0
MA,98,510,366-3358,0,0,0,119,46.14,102,16.18,118,12.81,6,3,4,1
OK,149,510,359-9972,0,1,43,79,35.14,122,14.84,80,10.87,3,2.94,1,0
MA,160,408,387-3332,0,0,0,109,28.36,117,20.06,77,13.84,1,2.51,1,0
WA,103,415,354-6960,0,0,0,107,34.83,102,11.49,106,9.37,3,2.81,5,0
HI,132,415,405-3335,0,1,15,128,26.28,106,20.88,90,6.69,4,2.46,1,0
CO,137,415,379-4257,0,0,0,107,21.59,75,27.47,127,6.48,2,2.03,1,0
FL,129,415,355-4992,1,0,0,78,45.46,85,17.36,146,5.03,4,1.59,1,0
WI,62,415,383-6373,0,0,0,66,47.77,108,13.65,74,3.51,0,0,1,0
ID,122,510,382-7993,0,1,33,96,46.04,110,18.73,104,7.65,8,3.19,4,0
WY,32,408,422-5865,0,0,0,82,29.1,102,15.78,64,9.15,7,2.75,1,0
GA,86,510,410-9961,0,0,0,82,21.1,120,17.22,119,13.03,8,1.81,3,0
FL,130,415,343-9946,0,0,0,113,27.68,111,24.68,140,5.17,3,1.94,1,0
WY,42,408,357-7060,0,0,0,84,24.87,113,21.75,117,2.03,12,2.16,1,0
DE,73,415,355-9541,0,0,0,85,43.32,80,12.19,102,6.93,7,4.05,2,0
ME,66,408,378-4145,0,1,26,108,43.33,135,20.67,95,8.59,3,1.46,2,0
DC,103,510,386-2317,0,1,31,124,18.31,104,16.06,98,8.83,3,2.4,0,0
IA,128,408,335-8146,0,0,0,75,27,91,22.51,77,12.15,7,2.05,1,0
CO,104,415,377-2235,0,0,0,113,31.09,85,20.37,104,10.34,4,1.49,2,0
MN,103,415,386-9141,0,0,0,112,33.75,90,3.61,124,8.06,5,3.35,0,0
VT,124,415,416-5623,0,0,0,72,30.33,134,19.86,91,8.07,2,3.24,0,0
AZ,87,510,327-3053,0,0,0,91,18.85,115,13.47,131,9.34,5,1.67,1,0
LA,109,415,395-6195,0,1,27,85,28.37,92,18.8,97,8.88,4,3.32,1,1
MO,167,415,397-8772,1,0,0,91,41.62,105,5.17,110,7.95,3,2.89,2,0
ME,97,510,346-7656,0,0,0,96,20.54,101,14.43,63,8.73,3,3.21,4,1
MD,106,415,343-2350,0,0,0,118,28.1,101,17.85,93,8.42,3,2.3,2,0
VT,125,415,372-4722,0,0,0,113,21.54,131,13.22,112,9.28,7,3.89,2,0
DC,108,408,399-8615,0,1,35,106,36.7,107,17.05,107,8.79,7,4.19,0,0
WY,125,415,379-8248,0,0,0,132,23.82,126,17.82,77,11.88,2,2.16,1,0
VA,89,415,414-6219,0,1,32,113,35.68,104,21.23,92,10.09,7,2.35,1,0
VA,72,510,387-1343,1,1,29,114,23.77,91,11.75,88,9.95,6,1.49,0,0
CT,23,510,370-5527,0,0,0,107,54.67,115,21.39,158,6.35,3,3.05,2,1
HI,149,510,393-8736,0,0,0,61,28.32,107,18.6,131,9.37,6,2.21,7,0
WI,73,415,402-7626,0,0,0,90,36.41,78,16.73,112,7.11,8,1.59,0,0
MD,61,415,370-2688,0,0,0,123,44.2,127,17.89,70,10.56,3,2.43,1,1
WV,161,415,418-9036,0,0,0,113,32.62,87,6.03,107,9.22,4,3.62,4,1
VT,73,408,417-2035,0,0,0,95,36.21,104,16.05,89,6.13,3,3.65,0,0
UT,118,415,355-3602,0,1,24,83,20.08,72,9.32,73,11.05,2,4.56,1,0
CO,23,408,393-4027,0,0,0,89,32.33,108,14.14,73,9.89,4,4.05,6,0
NC,127,415,418-5141,0,1,25,95,13.97,109,13.88,104,11.92,6,1.38,0,0
NJ,42,415,406-1247,0,1,32,80,27.85,123,15.11,106,8.57,5,2.19,0,0
AR,118,415,402-3892,0,0,0,145,45.53,121,26.89,91,9.39,11,3.89,5,1
IA,45,510,332-2965,0,0,0,91,27.17,86,10.23,93,7.34,3,2.86,2,0
GA,50,408,377-1218,0,1,24,129,36.43,55,24.63,130,14.06,4,2.86,1,0
MO,179,510,355-2464,0,0,0,123,48.84,114,24.48,112,11.97,4,2.84,0,1
MO,152,408,404-4611,0,0,0,122,17.2,87,12.04,124,8.93,3,2.03,2,0
WY,105,415,373-2339,0,0,0,74,17.48,125,23.94,113,10.26,5,3.56,2,0
HI,72,415,410-3503,0,0,0,97,18.55,96,9.83,84,13.31,6,2.24,0,0
PA,52,408,410-4739,0,0,0,67,36.7,108,18.45,130,15.43,2,1.4,1,0
TX,125,415,365-3562,0,0,0,110,34.58,97,10.94,113,8.57,4,2.97,1,0
VA,143,510,387-7641,0,0,0,113,18.72,59,14.37,94,7.5,2,2.48,1,0
RI,65,415,385-9744,0,0,0,51,18.87,84,18.68,89,9.09,14,1.19,1,0
WI,80,415,398-5006,0,0,0,121,40.78,51,12.1,106,16.39,5,2.51,1,0
MS,1,415,408-3977,0,0,0,107,24.62,66,9.56,79,9.84,3,3.73,1,0
KY,60,408,334-2729,0,0,0,134,23.02,85,17.5,103,9.18,4,2.13,1,0
NC,43,415,334-7685,0,0,0,134,14.31,103,6.87,79,8.82,2,2.92,1,0
NV,143,415,350-9228,0,0,0,127,35.55,80,9.02,90,8.08,6,3.78,0,0
UT,81,415,407-5774,0,1,24,117,22.12,61,16.66,123,6.27,5,3.08,0,0
ME,205,510,413-4039,0,1,24,139,29.89,98,13.18,64,8.13,5,2.11,2,0
HI,24,415,343-2077,0,0,0,104,41.12,112,12.34,105,9.65,5,1.78,1,0
OH,74,415,336-5661,0,0,0,106,23.24,105,19.43,114,11.94,4,2.65,0,0
WV,77,510,355-4143,0,0,0,68,11.51,86,16.63,137,10.64,2,3.24,1,0
OK,74,415,366-5918,0,0,0,87,34.07,105,26.28,118,6.84,2,2.7,1,0
KY,74,510,368-7555,1,0,0,103,21.39,96,17.65,143,9.33,4,3.81,1,1
AL,200,408,408-2119,0,0,0,87,21.79,105,11.32,123,7.99,2,3.02,1,0
MD,86,408,329-2789,0,0,0,88,38.47,107,18.96,92,11.5,3,3.51,4,0
NE,91,510,334-1508,0,1,37,107,27.59,115,19.88,94,12.48,4,2.48,0,0
DC,76,415,337-1506,0,0,0,121,38.15,97,12.57,74,8.27,2,1.81,2,0
TX,130,415,396-8400,0,0,0,127,20.49,52,16.12,107,12.15,2,3.86,1,0
OH,56,408,349-2654,0,0,0,90,15.49,115,15.24,89,13.53,8,3.21,2,0
DE,117,415,417-2716,0,0,0,137,28.7,107,20.52,106,9.22,4,4.19,0,0
IA,63,510,402-1725,0,0,0,81,26.1,115,24.42,85,10.36,5,1.76,2,0
VT,126,415,403-3229,0,0,0,88,38.45,114,11.93,110,9.4,2,1.73,0,0
OR,132,510,353-6056,0,0,0,107,32.62,127,17.59,88,12.24,2,3.4,1,0
NV,81,415,399-9802,0,1,28,147,28.54,105,16.21,103,8.69,6,2.48,4,1
NC,122,415,366-7069,0,0,0,88,30.6,77,12.33,120,10.52,6,3.11,2,0
NJ,46,408,332-5949,0,0,0,67,43.76,91,22.19,107,9.2,5,3.62,2,1
MN,150,415,393-6376,0,1,28,75,29.65,80,14.44,130,9.07,4,2.97,1,0
ID,99,408,354-7025,0,0,0,83,27.15,121,13.21,114,11.51,3,2.27,1,0
AL,87,408,351-6585,0,0,0,124,40.32,87,18.92,81,7.8,3,2.97,1,0
AK,108,415,330-5462,0,0,0,129,17.51,103,20.6,89,7.66,3,2.13,1,0
VT,101,415,407-2292,0,0,0,89,26.15,89,19.89,77,8.83,2,3.13,4,0
PA,53,415,340-3011,0,0,0,86,34.87,95,13.64,142,6.73,2,2.89,3,0
AK,132,415,345-9153,0,1,39,93,29.87,94,15.91,118,10.15,3,2.32,2,0
CA,158,510,379-5503,0,0,0,123,26.5,112,19.06,116,9.95,8,2.32,2,0
MS,114,415,389-6790,0,1,34,109,26.25,142,18.82,103,9.38,5,2.78,0,0
AR,77,415,408-3610,0,1,23,73,35.65,63,15.61,111,9.25,3,1.92,2,0
NV,144,415,375-8238,1,0,0,69,25.5,73,24.3,121,8.58,15,2.54,0,0
AL,91,510,378-5633,0,1,23,97,39.51,88,15.81,128,8.57,3,3.32,3,0
GA,58,408,389-9120,0,0,0,100,28.12,87,9.83,118,8.72,5,3.46,2,0
AR,5,415,380-2758,0,0,0,106,33.86,12,15.92,85,9.63,3,3.59,3,0
MA,97,408,402-2728,0,0,0,81,36.99,51,27.24,110,6.78,3,1.13,0,0
NJ,107,415,354-9062,0,0,0,95,36.06,88,12.76,111,9.89,2,2.08,3,0
MO,142,415,417-2054,0,1,30,75,26.18,97,14.09,83,12.15,5,2.92,1,0
NY,9,408,353-1941,0,1,31,130,32.95,98,17.22,102,8.6,2,3.59,1,0
AZ,73,415,328-1522,0,0,0,130,29.82,105,21.09,85,5.51,4,3.29,0,0
NJ,48,510,408-4529,0,1,22,63,25.84,131,22,109,11.84,5,4.24,2,1
WV,43,408,417-5320,0,0,0,147,39.13,121,15.87,100,5.78,3,2.48,0,0
NM,122,408,370-9755,0,1,33,103,29.73,105,21.1,116,7.41,3,3.65,1,1
SC,93,415,372-4835,0,0,0,68,32.33,64,22.29,92,5.85,4,2.38,0,0
VT,85,415,334-6605,0,0,0,122,29.99,123,19.12,50,9.88,1,3.11,1,0
TN,59,415,399-5564,0,0,0,95,27.35,65,21.35,97,12.3,5,1.35,3,0
LA,87,415,392-2887,0,0,0,90,38.88,99,13.86,90,6.93,3,3.19,1,0
OH,137,408,328-2110,0,0,0,90,24.48,100,15.44,93,5.76,2,3.32,0,0
OR,21,510,383-5976,0,1,31,90,23.1,84,23.04,89,8.06,7,2.57,6,0
DE,129,510,332-6181,0,0,0,118,56.83,104,16.33,83,8.59,6,2.81,0,1
KY,104,415,330-5255,0,0,0,77,22.19,117,11.15,63,11.91,6,3.51,0,0
GA,93,408,413-5190,0,1,21,105,22.81,128,13.81,90,8.4,2,3.19,4,1
VT,63,415,394-7447,0,0,0,102,47.26,114,22.64,118,10.08,4,3.54,4,1
OR,161,415,353-7096,0,0,0,70,17.92,122,18.26,126,10.06,5,2.11,0,0
TX,50,510,395-6002,0,0,0,94,32.11,104,17.33,124,6.83,8,3.13,3,0
MO,103,408,372-9816,0,1,24,85,19.01,102,20.37,81,12.07,4,1.86,1,0
ND,84,415,400-7253,0,1,33,106,27.05,101,12.73,108,9.6,18,3.51,1,0
MN,92,510,344-7470,0,0,0,105,36.11,118,19.09,105,9.96,4,2.43,1,0
NV,77,415,378-8572,0,0,0,112,24.19,111,26.04,82,8.84,1,2.67,1,0
NY,64,415,345-9140,1,0,0,55,58.96,79,21.21,102,12.39,9,3.59,1,1
FL,159,415,340-5460,0,1,15,102,19.36,146,12.35,137,8.78,9,3.19,1,0
KS,110,415,369-8024,1,1,27,103,45.54,74,22.38,106,8.01,2,2.24,1,1
NV,138,510,395-8595,0,0,0,117,29.14,128,9.79,115,10.1,4,4.59,3,0
NV,178,408,359-4587,0,0,0,150,46.82,62,15.94,126,6.62,3,3.67,1,0
SC,38,415,375-5439,0,1,31,118,33.52,70,21.24,104,13.45,2,1.05,0,0
MI,50,415,361-3779,0,1,35,97,32.74,101,11.49,101,9.73,2,2.13,2,0
MI,45,510,375-8934,0,1,26,104,15.59,119,12.8,103,2.85,5,2.08,1,0
TN,70,510,395-4757,0,0,0,99,21.47,106,12.04,96,11.52,2,2.59,0,0
NY,147,510,421-7205,0,1,33,107,42.76,110,19.9,87,9.6,6,2.81,3,0
NV,94,510,379-8805,0,0,0,108,32.4,95,12.95,97,6.51,5,2.03,1,0
IL,179,510,348-2150,0,0,0,101,19.74,99,17.15,103,8.19,5,3.13,0,0
MS,116,415,417-9128,0,0,0,91,36.94,95,18.37,76,6.66,3,3.05,2,0
ND,59,510,351-4226,0,0,0,80,30.5,99,19.76,105,7.91,3,3.97,0,0
NC,165,415,330-6630,0,0,0,109,35.31,94,14.01,91,2.45,3,2.13,0,0
MI,133,408,387-9137,0,0,0,138,47.14,117,19.41,103,5.28,4,3.46,2,1
TN,140,415,372-3987,0,0,0,84,21.3,121,14.25,94,11.73,4,2.27,1,0
VT,93,408,408-5183,0,1,32,91,23.48,72,14.22,115,10.75,3,1.84,2,0
OK,52,510,412-9357,0,1,38,88,28.78,97,19.2,86,7.74,3,2.21,0,0
